日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/10/31,411592,538977,76.37,262079,313515,83.59,
2023/10/30,331785,339871,97.62,262483,271497,96.68,
2023/10/27,296414,282028,105.10,246451,239295,102.99,
2023/10/26,322752,366523,88.06,204850,226813,90.32,
2023/10/25,644419,560472,114.98,157491,151594,103.89,
2023/10/24,558839,593490,94.16,265531,268334,98.96,
2023/10/23,279797,364490,76.76,227770,240800,94.59,
2023/10/20,366192,398481,91.90,206799,205419,100.67,
2023/10/19,239227,254568,93.97,167863,179978,93.27,
2023/10/18,743139,752470,98.76,119632,128759,92.91,
2023/10/17,382496,425899,89.81,270190,305270,88.51,
2023/10/16,354184,395308,89.60,253791,292944,86.63,
2023/10/13,264678,282865,93.57,228307,245467,93.01,
2023/10/12,274461,262294,104.64,208136,195204,106.62,
2023/10/11,626528,597555,104.85,151397,162654,93.08,
2023/10/06,281278,254116,110.69,218779,224696,97.37,
2023/10/05,318689,263610,120.89,198476,213233,93.08,
2023/10/04,672538,662379,101.53,130130,171859,75.72,
2023/10/03,384135,364240,105.46,240901,245358,98.18,
2023/10/02,382790,286967,133.39,229082,202863,112.92,
