日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/09/28,283833,272022,104.34,166908,192291,86.80,
2023/09/27,532947,505175,105.50,120829,147928,81.68,
2023/09/26,421773,409734,102.94,230982,265937,86.86,
2023/09/25,333852,271788,122.84,228459,228604,99.94,
2023/09/22,289330,276500,104.64,189011,228409,82.75,
2023/09/21,286885,344468,83.28,151640,202302,74.96,
2023/09/20,564784,546200,103.40,96992,119608,81.09,
2023/09/19,343279,384271,89.33,276245,302503,91.32,
2023/09/18,292397,352765,82.89,274693,275187,99.82,
2023/09/15,278525,231973,120.07,261610,221675,118.02,
2023/09/14,339219,273437,124.06,243539,206315,118.04,
2023/09/13,489468,436268,112.19,179325,178957,100.21,
2023/09/12,374338,347670,107.67,277003,275107,100.69,
2023/09/11,314001,390462,80.42,246445,274340,89.83,
2023/09/08,263273,254575,103.42,240248,236515,101.58,
2023/09/07,249520,252805,98.70,207695,213423,97.32,
2023/09/06,436335,427740,102.01,166813,166136,100.41,
2023/09/05,219787,194175,113.19,259908,240893,107.89,
2023/09/04,350127,311603,112.36,242994,222804,109.06,
2023/09/01,248350,239019,103.90,212099,208233,101.86,
