日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/12/01,258758,281684,91.86,289536,246266,117.57,
2023/11/30,251941,253794,99.27,256154,222622,115.06,
2023/11/29,493450,507026,97.32,194199,185594,104.64,
2023/11/28,436800,383660,113.85,302300,262862,115.00,
2023/11/27,286550,351234,81.58,256183,265621,96.45,
2023/11/24,183601,196453,93.46,243602,230448,105.71,
2023/11/23,262264,269790,97.21,220400,210587,104.66,
2023/11/22,431179,524481,82.21,172542,164315,105.01,
2023/11/21,441394,328856,134.22,296088,230540,128.43,
2023/11/20,248786,247303,100.60,259263,234330,110.64,
2023/11/17,284653,241082,118.07,241398,203789,118.45,
2023/11/16,277788,311718,89.12,194718,184099,105.77,
2023/11/15,743548,766918,96.95,136308,124979,109.06,
2023/11/14,345542,310357,111.34,347952,292164,119.09,
2023/11/13,531607,538007,98.81,321818,284488,113.12,
2023/11/10,307911,291630,105.58,288458,254313,113.43,
2023/11/09,226158,228940,98.78,268140,232962,115.10,
2023/11/08,587843,540559,108.75,227607,191395,118.92,
2023/11/07,333526,283185,117.78,367409,280618,130.93,
2023/11/06,461464,410106,112.52,355426,265158,134.04,
2023/11/03,360316,304500,118.33,295057,256138,115.19,
2023/11/02,364414,317179,114.89,250132,228159,109.63,
2023/11/01,549175,545989,100.58,171274,187896,91.15,
