日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/12/29,148838,155853,95.50,231446,195144,118.60,
2023/12/28,159728,173001,92.33,206720,175567,117.74,
2023/12/27,394078,404830,97.34,165374,136709,120.97,
2023/12/26,265706,194444,136.65,282865,209606,134.95,
2023/12/25,232516,186009,125.00,253891,210657,120.52,
2023/12/22,221895,214728,103.34,218654,199737,109.47,
2023/12/21,287853,272089,105.79,188765,179415,105.21,
2023/12/20,457687,428991,106.69,124780,118243,105.53,
2023/12/19,340106,421038,80.78,357450,318807,112.12,
2023/12/18,272054,267433,101.73,356153,286557,124.29,
2023/12/15,291504,286086,101.89,322404,256225,125.83,
2023/12/14,304151,306959,99.09,282391,230616,122.45,
2023/12/13,429815,497178,86.45,224314,208763,107.45,
2023/12/12,319097,300432,106.21,337637,301439,112.01,
2023/12/11,289275,286748,100.88,321435,280135,114.74,
2023/12/08,309277,287980,107.40,297351,261599,113.67,
2023/12/07,233178,245931,94.81,251000,245158,102.38,
2023/12/06,546188,524605,104.11,209699,200447,104.62,
2023/12/05,402115,452693,88.83,316027,302112,104.61,
2023/12/04,319074,326763,97.65,318144,274742,115.80,
2023/12/01,258758,281684,91.86,289536,246266,117.57,
