日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/03/31,237440,214454,110.72,219968,173617,126.70,
2023/03/30,218338,171022,127.67,191965,157249,122.08,
2023/03/29,459961,414152,111.06,148921,132514,112.38,
2023/03/28,324818,405392,80.12,261027,235261,110.95,
2023/03/27,314271,309820,101.44,254105,206841,122.85,
2023/03/24,326549,268527,121.61,234709,169450,138.51,
2023/03/23,324445,258090,125.71,209628,151344,138.51,
2023/03/22,639480,488793,130.83,143100,117556,121.73,
2023/03/21,459624,333304,137.90,262955,218221,120.50,
2023/03/20,310832,259393,119.83,231983,206494,112.34,
2023/03/17,339502,284700,119.25,210455,184515,114.06,
2023/03/16,391252,385941,101.38,166777,174888,95.36,
2023/03/15,635665,581629,109.29,109266,112427,97.19,
2023/03/14,445256,519489,85.71,289526,324915,89.11,
2023/03/13,411840,444899,92.57,276590,298830,92.56,
2023/03/10,348072,454067,76.66,243160,275236,88.35,
2023/03/09,180744,195626,92.39,233350,214196,108.94,
2023/03/08,479267,556461,86.13,199273,176990,112.59,
2023/03/07,327677,256361,127.82,323867,233468,138.72,
2023/03/06,387441,315096,122.96,297072,226273,131.29,
2023/03/03,263885,236534,111.56,262573,216564,121.24,
2023/03/02,228709,233322,98.02,230729,193184,119.43,
2023/03/01,561623,528102,106.35,194170,159037,122.09,
