日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/07/31,540106,563899,95.78,216662,229578,94.37,
2023/07/28,368622,353228,104.36,202573,185998,108.91,
2023/07/27,315805,267311,118.14,168749,156824,107.60,
2023/07/26,530702,558913,94.95,113085,122807,92.08,
2023/07/25,470314,410865,114.47,227995,203340,112.13,
2023/07/24,361647,353003,102.45,186669,210717,88.59,
2023/07/21,383253,401251,95.51,166474,190761,87.27,
2023/07/20,254230,242818,104.70,137618,142023,96.90,
2023/07/19,655303,709325,92.38,86714,101203,85.68,
2023/07/18,473320,479256,98.76,275790,244302,112.89,
2023/07/17,344452,326692,105.44,271590,223655,121.43,
2023/07/14,364084,333518,109.16,251424,200494,125.40,
2023/07/13,487838,461742,105.65,225198,190725,118.07,
2023/07/12,635135,624962,101.63,155460,150805,103.09,
2023/07/11,559837,432468,129.45,296359,231482,128.03,
2023/07/10,474713,441629,107.49,243749,249945,97.52,
2023/07/07,430715,413806,104.09,216158,231488,93.38,
2023/07/06,367577,405444,90.66,183748,203268,90.40,
2023/07/05,385369,385381,100.00,146164,134759,108.46,
2023/07/04,349537,311462,112.22,268166,208952,128.34,
2023/07/03,384514,317593,121.07,243753,195676,124.57,
