日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/04/28,297937,261200,114.06,191779,173868,110.30,
2023/04/27,217806,220289,98.87,153820,160116,96.07,
2023/04/26,509978,572352,89.10,116175,133979,86.71,
2023/04/25,441499,505175,87.40,184958,248233,74.51,
2023/04/24,255672,276773,92.38,183386,203380,90.17,
2023/04/21,283802,349018,81.31,155202,181102,85.70,
2023/04/20,213816,249285,85.77,130390,143228,91.04,
2023/04/19,448162,461735,97.06,89703,94536,94.89,
2023/04/18,285448,303317,94.11,271517,244576,111.02,
2023/04/17,246155,255252,96.44,254332,222427,114.34,
2023/04/14,296924,267989,110.80,238431,200086,119.16,
2023/04/13,235958,273795,86.18,203193,191195,106.28,
2023/04/12,353389,333830,105.86,166762,139840,119.25,
2023/04/11,366639,340053,107.82,262600,202487,129.69,
2023/04/10,202513,165526,122.35,222006,186562,119.00,
2023/04/07,184552,160417,115.05,197448,164964,119.69,
2023/04/06,379068,338050,112.13,156830,136801,114.64,
