日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/05/31,806273,859239,93.84,168377,165444,101.77,
2023/05/30,299154,308626,96.93,297207,270884,109.72,
2023/05/29,446570,446574,100.00,275882,247810,111.33,
2023/05/26,413890,395565,104.63,251999,209485,120.29,
2023/05/25,332796,333497,99.79,197721,179988,109.85,
2023/05/24,452906,475363,95.28,140593,135800,103.53,
2023/05/23,308322,280699,109.84,253798,225464,112.57,
2023/05/22,215217,212034,101.50,233973,206215,113.46,
2023/05/19,293117,328187,89.31,221496,186722,118.62,
2023/05/18,330331,319377,103.43,191723,149437,128.30,
2023/05/17,693991,722389,96.07,126006,103870,121.31,
2023/05/16,454497,400709,113.42,282799,239253,118.20,
2023/05/15,298628,286357,104.29,249292,262900,94.82,
2023/05/12,345333,349534,98.80,229552,239871,95.70,
2023/05/11,298444,311654,95.76,206831,207558,99.65,
2023/05/10,398492,495469,80.43,159813,165512,96.56,
2023/05/09,261578,264103,99.04,262545,227349,115.48,
2023/05/08,341595,270977,126.06,244887,212421,115.28,
2023/05/05,279443,258346,108.17,216349,192073,112.64,
2023/05/04,212818,182399,116.68,184204,167220,110.16,
2023/05/03,416701,432224,96.41,134591,135190,99.56,
2023/05/02,361899,280780,128.89,232917,193310,120.49,
